rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,15,4030464,4030464,0x0,24,blk.77.ffn_up_exps.weight
2,15,4030464,8060928,0x0,24,blk.77.ffn_gate_exps.weight
3,15,4030464,12091392,0x0,230,blk.35.ffn_up_exps.weight
4,15,4030464,16121856,0x0,230,blk.35.ffn_gate_exps.weight
5,15,4030464,20152320,0x0,79,blk.39.ffn_up_exps.weight
6,15,4030464,24182784,0x0,79,blk.39.ffn_gate_exps.weight
7,15,4030464,28213248,0x0,62,blk.44.ffn_up_exps.weight
8,15,4030464,32243712,0x0,62,blk.44.ffn_gate_exps.weight
9,15,4030464,36274176,0x0,58,blk.48.ffn_up_exps.weight
10,15,4030464,40304640,0x0,82,blk.48.ffn_up_exps.weight
11,15,4030464,44335104,0x0,58,blk.48.ffn_gate_exps.weight
12,15,4030464,48365568,0x0,82,blk.48.ffn_gate_exps.weight
13,15,4030464,52396032,0x0,218,blk.68.ffn_up_exps.weight
14,15,4030464,56426496,0x0,218,blk.68.ffn_gate_exps.weight
15,15,4030464,60456960,0x0,183,blk.70.ffn_up_exps.weight
16,15,4030464,64487424,0x0,183,blk.70.ffn_gate_exps.weight
17,15,4030464,68517888,0x0,253,blk.74.ffn_up_exps.weight
18,15,4030464,72548352,0x0,253,blk.74.ffn_gate_exps.weight
19,15,4030464,76578816,0x0,186,blk.39.ffn_up_exps.weight
20,15,4030464,80609280,0x0,186,blk.39.ffn_gate_exps.weight
21,15,4030464,84639744,0x0,219,blk.65.ffn_up_exps.weight
22,15,4030464,88670208,0x0,219,blk.65.ffn_gate_exps.weight
23,15,4030464,92700672,0x0,157,blk.66.ffn_up_exps.weight
24,15,4030464,96731136,0x0,157,blk.66.ffn_gate_exps.weight
25,15,4030464,100761600,0x0,222,blk.34.ffn_up_exps.weight
26,15,4030464,104792064,0x0,222,blk.34.ffn_gate_exps.weight
27,15,4030464,108822528,0x0,216,blk.40.ffn_up_exps.weight
28,15,4030464,112852992,0x0,216,blk.40.ffn_gate_exps.weight
29,15,4030464,116883456,0x0,204,blk.42.ffn_up_exps.weight
30,15,4030464,120913920,0x0,204,blk.42.ffn_gate_exps.weight
31,15,4030464,124944384,0x0,5,blk.48.ffn_up_exps.weight
32,15,4030464,128974848,0x0,5,blk.48.ffn_gate_exps.weight
33,15,4030464,133005312,0x0,57,blk.57.ffn_up_exps.weight
34,15,4030464,137035776,0x0,57,blk.57.ffn_gate_exps.weight
35,15,4030464,141066240,0x0,236,blk.61.ffn_up_exps.weight
36,15,4030464,145096704,0x0,236,blk.61.ffn_gate_exps.weight
37,15,4030464,149127168,0x0,237,blk.62.ffn_up_exps.weight
38,15,4030464,153157632,0x0,237,blk.62.ffn_gate_exps.weight
39,15,4030464,157188096,0x0,181,blk.63.ffn_up_exps.weight
40,15,4030464,161218560,0x0,181,blk.63.ffn_gate_exps.weight
41,15,4030464,165249024,0x0,161,blk.65.ffn_up_exps.weight
42,15,4030464,169279488,0x0,161,blk.65.ffn_gate_exps.weight
43,15,4030464,173309952,0x0,161,blk.66.ffn_up_exps.weight
44,15,4030464,177340416,0x0,161,blk.66.ffn_gate_exps.weight
45,15,4030464,181370880,0x0,226,blk.72.ffn_up_exps.weight
46,15,4030464,185401344,0x0,226,blk.72.ffn_gate_exps.weight
47,15,4030464,189431808,0x0,181,blk.37.ffn_up_exps.weight
48,15,4030464,193462272,0x0,181,blk.37.ffn_gate_exps.weight
49,15,4030464,197492736,0x0,65,blk.6.ffn_up_exps.weight
50,15,4030464,201523200,0x0,65,blk.6.ffn_gate_exps.weight
51,15,4030464,205553664,0x0,253,blk.63.ffn_up_exps.weight
52,15,4030464,209584128,0x0,253,blk.63.ffn_gate_exps.weight
53,15,4030464,213614592,0x0,60,blk.77.ffn_up_exps.weight
54,15,4030464,217645056,0x0,60,blk.77.ffn_gate_exps.weight
55,15,4030464,221675520,0x0,250,blk.68.ffn_up_exps.weight
56,15,4030464,225705984,0x0,250,blk.68.ffn_gate_exps.weight
57,15,4030464,229736448,0x0,78,blk.39.ffn_up_exps.weight
58,15,4030464,233766912,0x0,78,blk.39.ffn_gate_exps.weight
59,15,4030464,237797376,0x0,166,blk.43.ffn_up_exps.weight
60,15,4030464,241827840,0x0,166,blk.43.ffn_gate_exps.weight
61,15,4030464,245858304,0x0,71,blk.47.ffn_up_exps.weight
62,15,4030464,249888768,0x0,71,blk.47.ffn_gate_exps.weight
63,15,4030464,253919232,0x0,62,blk.48.ffn_up_exps.weight
64,15,4030464,257949696,0x0,62,blk.48.ffn_gate_exps.weight
