rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,22,7798784,7798784,0x0,26,blk.4.ffn_down_exps.weight
2,20,6307840,14106624,0x0,116,blk.1.ffn_down_exps.weight
3,19,8257536,22364160,0x0,84,blk.6.ffn_down_exps.weight
4,19,8257536,30621696,0x0,84,blk.7.ffn_down_exps.weight
5,19,8257536,38879232,0x0,235,blk.7.ffn_down_exps.weight
6,18,7798784,46678016,0x0,103,blk.20.ffn_down_exps.weight
7,18,7798784,54476800,0x0,67,blk.22.ffn_down_exps.weight
8,18,7798784,62275584,0x0,246,blk.23.ffn_down_exps.weight
9,18,6307840,68583424,0x0,270,blk.13.ffn_down_exps.weight
10,18,6307840,74891264,0x0,65,blk.11.ffn_down_exps.weight
11,17,8257536,83148800,0x0,288,blk.7.ffn_down_exps.weight
12,17,8257536,91406336,0x0,10,blk.18.ffn_down_exps.weight
13,17,7798784,99205120,0x0,83,blk.21.ffn_down_exps.weight
14,17,7798784,107003904,0x0,213,blk.26.ffn_down_exps.weight
15,17,6307840,113311744,0x0,76,blk.27.ffn_down_exps.weight
16,17,6307840,119619584,0x0,363,blk.29.ffn_down_exps.weight
17,17,6307840,125927424,0x0,353,blk.32.ffn_down_exps.weight
18,17,6307840,132235264,0x0,286,blk.14.ffn_down_exps.weight
19,16,8257536,140492800,0x0,153,blk.10.ffn_down_exps.weight
20,16,8257536,148750336,0x0,34,blk.6.ffn_down_exps.weight
21,16,7798784,156549120,0x0,340,blk.25.ffn_down_exps.weight
22,16,6307840,162856960,0x0,41,blk.1.ffn_down_exps.weight
23,15,8257536,171114496,0x0,356,blk.6.ffn_down_exps.weight
24,15,7798784,178913280,0x0,105,blk.23.ffn_down_exps.weight
25,15,7798784,186712064,0x0,107,blk.16.ffn_down_exps.weight
26,15,6307840,193019904,0x0,11,blk.56.ffn_down_exps.weight
27,15,6307840,199327744,0x0,305,blk.29.ffn_down_exps.weight
28,14,8257536,207585280,0x0,14,blk.7.ffn_down_exps.weight
29,14,6307840,213893120,0x0,173,blk.11.ffn_down_exps.weight
30,14,6307840,220200960,0x0,37,blk.32.ffn_down_exps.weight
31,14,6307840,226508800,0x0,31,blk.13.ffn_down_exps.weight
32,14,6307840,232816640,0x0,298,blk.2.ffn_down_exps.weight
33,13,8257536,241074176,0x0,155,blk.8.ffn_down_exps.weight
34,13,8257536,249331712,0x0,198,blk.10.ffn_down_exps.weight
35,13,7798784,257130496,0x0,79,blk.4.ffn_down_exps.weight
36,13,7798784,264929280,0x0,331,blk.19.ffn_down_exps.weight
37,13,7798784,272728064,0x0,197,blk.21.ffn_down_exps.weight
38,13,7798784,280526848,0x0,344,blk.24.ffn_down_exps.weight
39,13,7798784,288325632,0x0,154,blk.24.ffn_down_exps.weight
40,13,6307840,294633472,0x0,64,blk.13.ffn_down_exps.weight
41,13,6307840,300941312,0x0,41,blk.17.ffn_down_exps.weight
42,13,6307840,307249152,0x0,239,blk.51.ffn_down_exps.weight
43,13,6307840,313556992,0x0,312,blk.54.ffn_down_exps.weight
44,13,6307840,319864832,0x0,23,blk.1.ffn_down_exps.weight
45,13,6307840,326172672,0x0,360,blk.12.ffn_down_exps.weight
46,13,6307840,332480512,0x0,200,blk.28.ffn_down_exps.weight
47,12,8257536,340738048,0x0,211,blk.8.ffn_down_exps.weight
48,12,8257536,348995584,0x0,127,blk.10.ffn_down_exps.weight
49,12,8257536,357253120,0x0,15,blk.15.ffn_down_exps.weight
50,12,8257536,365510656,0x0,152,blk.18.ffn_down_exps.weight
51,12,8257536,373768192,0x0,256,blk.9.ffn_down_exps.weight
52,12,8257536,382025728,0x0,346,blk.15.ffn_down_exps.weight
53,12,7798784,389824512,0x0,263,blk.24.ffn_down_exps.weight
54,12,7798784,397623296,0x0,52,blk.25.ffn_down_exps.weight
55,12,7798784,405422080,0x0,93,blk.19.ffn_down_exps.weight
56,12,7798784,413220864,0x0,233,blk.26.ffn_down_exps.weight
57,12,6307840,419528704,0x0,169,blk.52.ffn_down_exps.weight
58,12,6307840,425836544,0x0,132,blk.14.ffn_down_exps.weight
59,12,6307840,432144384,0x0,87,blk.28.ffn_down_exps.weight
60,12,6307840,438452224,0x0,115,blk.60.ffn_down_exps.weight
61,12,6307840,444760064,0x0,193,blk.38.ffn_down_exps.weight
62,12,6307840,451067904,0x0,137,blk.14.ffn_down_exps.weight
63,11,8257536,459325440,0x0,131,blk.10.ffn_down_exps.weight
64,11,8257536,467582976,0x0,249,blk.9.ffn_down_exps.weight
65,11,8257536,475840512,0x0,25,blk.18.ffn_down_exps.weight
66,11,8257536,484098048,0x0,165,blk.18.ffn_down_exps.weight
67,11,8257536,492355584,0x0,93,blk.15.ffn_down_exps.weight
68,11,8257536,500613120,0x0,232,blk.18.ffn_down_exps.weight
69,11,8257536,508870656,0x0,111,blk.6.ffn_down_exps.weight
70,11,7798784,516669440,0x0,264,blk.20.ffn_down_exps.weight
71,11,7798784,524468224,0x0,3,blk.21.ffn_down_exps.weight
72,11,7798784,532267008,0x0,294,blk.21.ffn_down_exps.weight
73,11,7798784,540065792,0x0,37,blk.16.ffn_down_exps.weight
74,11,7798784,547864576,0x0,12,blk.58.ffn_down_exps.weight
75,11,7798784,555663360,0x0,364,blk.20.ffn_down_exps.weight
76,11,6307840,561971200,0x0,181,blk.13.ffn_down_exps.weight
