seq,expert_bytes,tensor_base,expert_idx,tensor
1,4030464,0x0,19,blk.77.ffn_up_exps.weight
2,4030464,0x0,49,blk.77.ffn_up_exps.weight
3,4030464,0x0,75,blk.77.ffn_up_exps.weight
4,4030464,0x0,123,blk.77.ffn_up_exps.weight
5,4030464,0x0,133,blk.77.ffn_up_exps.weight
6,4030464,0x0,137,blk.77.ffn_up_exps.weight
7,4030464,0x0,163,blk.77.ffn_up_exps.weight
8,4030464,0x0,188,blk.77.ffn_up_exps.weight
9,4030464,0x0,19,blk.77.ffn_gate_exps.weight
10,4030464,0x0,49,blk.77.ffn_gate_exps.weight
11,4030464,0x0,75,blk.77.ffn_gate_exps.weight
12,4030464,0x0,123,blk.77.ffn_gate_exps.weight
13,4030464,0x0,133,blk.77.ffn_gate_exps.weight
14,4030464,0x0,137,blk.77.ffn_gate_exps.weight
15,4030464,0x0,163,blk.77.ffn_gate_exps.weight
16,4030464,0x0,188,blk.77.ffn_gate_exps.weight
17,4816896,0x0,19,blk.77.ffn_down_exps.weight
18,4816896,0x0,49,blk.77.ffn_down_exps.weight
19,4816896,0x0,75,blk.77.ffn_down_exps.weight
20,4816896,0x0,123,blk.77.ffn_down_exps.weight
21,4816896,0x0,133,blk.77.ffn_down_exps.weight
22,4816896,0x0,137,blk.77.ffn_down_exps.weight
23,4816896,0x0,163,blk.77.ffn_down_exps.weight
24,4816896,0x0,188,blk.77.ffn_down_exps.weight
25,4030464,0x0,11,blk.3.ffn_up_exps.weight
26,4030464,0x0,15,blk.3.ffn_up_exps.weight
27,4030464,0x0,26,blk.3.ffn_up_exps.weight
28,4030464,0x0,41,blk.3.ffn_up_exps.weight
29,4030464,0x0,163,blk.3.ffn_up_exps.weight
30,4030464,0x0,166,blk.3.ffn_up_exps.weight
31,4030464,0x0,174,blk.3.ffn_up_exps.weight
32,4030464,0x0,233,blk.3.ffn_up_exps.weight
33,4030464,0x0,11,blk.3.ffn_gate_exps.weight
34,4030464,0x0,15,blk.3.ffn_gate_exps.weight
35,4030464,0x0,26,blk.3.ffn_gate_exps.weight
36,4030464,0x0,41,blk.3.ffn_gate_exps.weight
37,4030464,0x0,163,blk.3.ffn_gate_exps.weight
38,4030464,0x0,166,blk.3.ffn_gate_exps.weight
39,4030464,0x0,174,blk.3.ffn_gate_exps.weight
40,4030464,0x0,233,blk.3.ffn_gate_exps.weight
41,4816896,0x0,11,blk.3.ffn_down_exps.weight
42,4816896,0x0,15,blk.3.ffn_down_exps.weight
43,4816896,0x0,26,blk.3.ffn_down_exps.weight
44,4816896,0x0,41,blk.3.ffn_down_exps.weight
45,4816896,0x0,163,blk.3.ffn_down_exps.weight
46,4816896,0x0,166,blk.3.ffn_down_exps.weight
47,4816896,0x0,174,blk.3.ffn_down_exps.weight
48,4816896,0x0,233,blk.3.ffn_down_exps.weight
49,4030464,0x0,0,blk.4.ffn_up_exps.weight
50,4030464,0x0,1,blk.4.ffn_up_exps.weight
51,4030464,0x0,2,blk.4.ffn_up_exps.weight
52,4030464,0x0,3,blk.4.ffn_up_exps.weight
53,4030464,0x0,4,blk.4.ffn_up_exps.weight
54,4030464,0x0,5,blk.4.ffn_up_exps.weight
55,4030464,0x0,6,blk.4.ffn_up_exps.weight
56,4030464,0x0,7,blk.4.ffn_up_exps.weight
57,4030464,0x0,0,blk.4.ffn_gate_exps.weight
58,4030464,0x0,1,blk.4.ffn_gate_exps.weight
59,4030464,0x0,2,blk.4.ffn_gate_exps.weight
60,4030464,0x0,3,blk.4.ffn_gate_exps.weight
61,4030464,0x0,4,blk.4.ffn_gate_exps.weight
62,4030464,0x0,5,blk.4.ffn_gate_exps.weight
63,4030464,0x0,6,blk.4.ffn_gate_exps.weight
64,4030464,0x0,7,blk.4.ffn_gate_exps.weight
65,4816896,0x0,0,blk.4.ffn_down_exps.weight
66,4816896,0x0,1,blk.4.ffn_down_exps.weight
67,4816896,0x0,2,blk.4.ffn_down_exps.weight
68,4816896,0x0,3,blk.4.ffn_down_exps.weight
69,4816896,0x0,4,blk.4.ffn_down_exps.weight
70,4816896,0x0,5,blk.4.ffn_down_exps.weight
71,4816896,0x0,6,blk.4.ffn_down_exps.weight
