rank,count,expert_bytes,cumulative_bytes,tensor_base,expert_idx,tensor
1,25,6307840,6307840,0x0,329,blk.35.ffn_down_exps.weight
2,24,6307840,12615680,0x0,1,blk.27.ffn_down_exps.weight
3,24,6307840,18923520,0x0,230,blk.27.ffn_down_exps.weight
4,24,6307840,25231360,0x0,99,blk.5.ffn_down_exps.weight
5,24,6307840,31539200,0x0,202,blk.12.ffn_down_exps.weight
6,23,6311936,37851136,0x0,158,blk.5.ffn_down_exps.weight
7,23,6307840,44158976,0x0,353,blk.28.ffn_down_exps.weight
8,23,6307840,50466816,0x0,88,blk.28.ffn_down_exps.weight
9,23,6307840,56774656,0x0,129,blk.12.ffn_down_exps.weight
10,23,6307840,63082496,0x0,334,blk.12.ffn_down_exps.weight
11,22,6307840,69390336,0x0,87,blk.28.ffn_down_exps.weight
12,22,6307840,75698176,0x0,167,blk.30.ffn_down_exps.weight
13,22,6307840,82006016,0x0,220,blk.38.ffn_down_exps.weight
14,22,6307840,88313856,0x0,164,blk.50.ffn_down_exps.weight
15,22,6307840,94621696,0x0,8,blk.59.ffn_down_exps.weight
16,21,7798784,102420480,0x0,358,blk.20.ffn_down_exps.weight
17,21,7798784,110219264,0x0,120,blk.58.ffn_down_exps.weight
18,21,7798784,118018048,0x0,78,blk.16.ffn_down_exps.weight
19,21,7798784,125816832,0x0,364,blk.20.ffn_down_exps.weight
20,21,7798784,133615616,0x0,30,blk.21.ffn_down_exps.weight
21,21,6307840,139923456,0x0,295,blk.34.ffn_down_exps.weight
22,21,6307840,146231296,0x0,188,blk.38.ffn_down_exps.weight
23,21,6307840,152539136,0x0,285,blk.40.ffn_down_exps.weight
24,21,6307840,158846976,0x0,37,blk.27.ffn_down_exps.weight
25,21,6307840,165154816,0x0,332,blk.1.ffn_down_exps.weight
26,20,8257536,173412352,0x0,275,blk.8.ffn_down_exps.weight
27,20,8257536,181669888,0x0,49,blk.18.ffn_down_exps.weight
28,20,7798784,189468672,0x0,288,blk.22.ffn_down_exps.weight
29,20,7798784,197267456,0x0,207,blk.21.ffn_down_exps.weight
30,20,7798784,205066240,0x0,5,blk.23.ffn_down_exps.weight
31,20,6307840,211374080,0x0,177,blk.28.ffn_down_exps.weight
32,20,6307840,217681920,0x0,99,blk.27.ffn_down_exps.weight
33,20,6307840,223989760,0x0,129,blk.37.ffn_down_exps.weight
34,20,6307840,230297600,0x0,324,blk.30.ffn_down_exps.weight
35,20,6307840,236605440,0x0,209,blk.30.ffn_down_exps.weight
36,20,6307840,242913280,0x0,110,blk.43.ffn_down_exps.weight
37,20,6307840,249221120,0x0,126,blk.60.ffn_down_exps.weight
38,20,6307840,255528960,0x0,52,blk.36.ffn_down_exps.weight
39,20,6307840,261836800,0x0,200,blk.5.ffn_down_exps.weight
40,20,4702208,266539008,0x0,78,blk.16.ffn_up_exps.weight
41,20,4702208,271241216,0x0,78,blk.16.ffn_gate_exps.weight
42,20,4702208,275943424,0x0,275,blk.8.ffn_gate_exps.weight
43,20,4702208,280645632,0x0,5,blk.23.ffn_up_exps.weight
44,20,4702208,285347840,0x0,5,blk.23.ffn_gate_exps.weight
45,19,8257536,293605376,0x0,28,blk.10.ffn_down_exps.weight
46,19,8257536,301862912,0x0,294,blk.15.ffn_down_exps.weight
